,analyze_and_understand_data_to_influence_product_or_business_decisions,build_the_data_infrastructure_that_my_business_uses_for_storing_analyzing_and_operationalizing_data,build_prototypes_to_explore_applying_machine_learning_to_new_areas,build_a_machine_learning_service_that_operationally_improves_my_product_or_workflows,experimentation_and_iteration_to_improve_existing_ml_models,do_research_that_advances_the_state_of_the_art_of_machine_learning,none_of_these_activities_are_an_important_part_of_my_role_at_work,what_is_the_primary_tool_that_you_use_at_work_or_school_to_analyze_data,highest_level_of_formal_education,job_title,yearly_compensation,does_your_current_employer_incorporate_machine_learning_methods_into_their_business
0,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Software Engineer,"30,000-39,999",I do not know
1,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Professional degree,Software Engineer,"5,000-7,499","We have well established ML methods (i.e., models in production for more than 2 years)"
2,,,Build prototypes to explore applying machine learning to new areas,,,Do research that advances the state of the art of machine learning,,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Scientist,"60,000-69,999","We have well established ML methods (i.e., models in production for more than 2 years)"
3,Analyze and understand data to influence product or business decisions,,,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
4,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"80,000-89,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
5,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"70,000-79,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
6,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Product/Project Manager,"90,000-99,999",I do not know
7,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Data Analyst,"125,000-149,999",We use ML methods for generating insights (but do not put working models into production)
8,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,Other,Bachelor’s degree,Software Engineer,$0-999,We are exploring ML methods (and may one day put a model into production)
9,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,,,,Other,Master’s degree,Product/Project Manager,$0-999,"We recently started using ML methods (i.e., models in production for less than 2 years)"
10,,,Build prototypes to explore applying machine learning to new areas,,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,"40,000-49,999","We have well established ML methods (i.e., models in production for more than 2 years)"
11,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Analyst,"20,000-24,999",We are exploring ML methods (and may one day put a model into production)
12,Analyze and understand data to influence product or business decisions,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Business Analyst,$0-999,We are exploring ML methods (and may one day put a model into production)
13,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"10,000-14,999",No (we do not use ML methods)
14,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,Do research that advances the state of the art of machine learning,,Other,Master’s degree,Research Scientist,"15,000-19,999","We have well established ML methods (i.e., models in production for more than 2 years)"
15,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"20,000-24,999",No (we do not use ML methods)
16,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"100,000-124,999",We are exploring ML methods (and may one day put a model into production)
17,,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Doctoral degree,Research Scientist,$0-999,No (we do not use ML methods)
18,,,,,,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Research Scientist,$0-999,We use ML methods for generating insights (but do not put working models into production)
19,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Software Engineer,"90,000-99,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
20,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,,,Do research that advances the state of the art of machine learning,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Scientist,"7,500-9,999",We are exploring ML methods (and may one day put a model into production)
21,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Master’s degree,Data Analyst,$0-999,No (we do not use ML methods)
22,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,Do research that advances the state of the art of machine learning,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Research Scientist,"150,000-199,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
23,Analyze and understand data to influence product or business decisions,,Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"10,000-14,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
24,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Advanced statistical software (SPSS, SAS, etc.)",Master’s degree,Data Analyst,"10,000-14,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
25,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Master’s degree,Data Analyst,"25,000-29,999",We are exploring ML methods (and may one day put a model into production)
26,,,,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Master’s degree,Data Engineer,"40,000-49,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
27,Analyze and understand data to influence product or business decisions,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Doctoral degree,Product/Project Manager,"90,000-99,999","We have well established ML methods (i.e., models in production for more than 2 years)"
28,,,,,,,None of these activities are an important part of my role at work,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Software Engineer,"5,000-7,499",We are exploring ML methods (and may one day put a model into production)
29,,,Build prototypes to explore applying machine learning to new areas,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",Master’s degree,Software Engineer,"3,000-3,999",We are exploring ML methods (and may one day put a model into production)
30,,,,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Bachelor’s degree,Software Engineer,"10,000-14,999",No (we do not use ML methods)
31,Analyze and understand data to influence product or business decisions,,,,,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Engineer,"10,000-14,999",We are exploring ML methods (and may one day put a model into production)
32,,,,,,,,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",Master’s degree,Data Analyst,$0-999,No (we do not use ML methods)
33,,,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",Bachelor’s degree,Software Engineer,"40,000-49,999",No (we do not use ML methods)
34,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Master’s degree,Data Analyst,"40,000-49,999","We recently started using ML methods (i.e., models in production for less than 2 years)"
35,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Build prototypes to explore applying machine learning to new areas,Build and/or run a machine learning service that operationally improves my product or workflows,Experimentation and iteration to improve existing ML models,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Data Scientist,"150,000-199,999","We have well established ML methods (i.e., models in production for more than 2 years)"
36,,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",,Build and/or run a machine learning service that operationally improves my product or workflows,,,,"Local development environments (RStudio, JupyterLab, etc.)",Bachelor’s degree,Business Analyst,"3,000-3,999","We have well established ML methods (i.e., models in production for more than 2 years)"
